obsid,label,pred,error,teff,logg,feh,snru,snrg,snrr,rv,z
243505242.0,1.9,1.18,-0.72,6171.57,4.205,0.059000000000000004,56.91,222.76,251.63,-4.74,-1.58e-05
552411009.0,2.7,1.98,-0.7200000000000002,5185.96,3.8089999999999997,-0.589,1.41,15.72,27.6,2.42,8.07e-06
441311250.0,1.9,2.62,0.7200000000000002,5547.63,4.843999999999999,0.13,0.69,20.32,66.78,2.3,7.67e-06
108806243.0,2.7,1.99,-0.7100000000000002,5499.96,4.206,0.306,4.93,31.72,47.17,5.54,1.85e-05
242414245.0,2.7,1.99,-0.7100000000000002,6266.82,4.021,-0.127,0.51,13.72,30.3,-5.49,-1.83e-05
268914202.0,2.5,3.21,0.71,4065.76,1.864,-0.35600000000000004,0.01,4.27,52.09,5.3,1.77e-05
556403191.0,2.7,1.99,-0.7100000000000002,5507.84,4.114,-0.332,2.71,20.71,41.9,12.18,4.0600000000000004e-05
92016231.0,1.9,2.61,0.71,5556.33,4.355,0.308,1.32,17.65,26.03,-5.35,-1.7800000000000002e-05
559506026.0,1.9,2.6,0.7000000000000002,5423.79,4.45,-0.306,2.53,21.57,31.95,13.98,4.66e-05
177911144.0,1.2,1.9,0.7,6100.61,4.191,-0.315,9.84,49.06,75.71,3.34,1.11e-05
19405054.0,0.9,1.59,0.6900000000000001,6667.82,4.343,-0.598,0.0,8.07,12.28,13.9,4.6399999999999996e-05
447514137.0,2.7,2.01,-0.6900000000000004,5478.57,4.484,-0.40299999999999997,10.41,54.15,76.42,0.28,9.340000000000001e-07
360009001.0,1.9,2.59,0.69,4935.56,2.406,-0.529,10.51,72.13,176.21,-12.36,-4.1200000000000005e-05
408813015.0,2.0,1.31,-0.69,6111.98,4.485,-0.132,1.78,17.88,35.96,-5.21,-1.74e-05
18803058.0,2.6,1.91,-0.6900000000000002,5106.32,3.515,-0.473,1.36,21.29,31.23,4.14,1.3800000000000002e-05
387205064.0,2.7,2.01,-0.6900000000000004,5296.24,4.463,-0.564,1.57,21.41,35.83,7.75,2.59e-05
17502027.0,1.9,1.21,-0.69,6090.74,4.331,-0.18899999999999997,5.82,26.93,44.17,-14.19,-4.73e-05
567507178.0,2.2,1.52,-0.6800000000000002,5996.06,3.862,-0.043,23.73,88.98,122.71,4.0,1.3300000000000001e-05
545913083.0,3.3,2.62,-0.6799999999999997,4303.76,2.099,-0.27899999999999997,0.6,17.27,54.66,-7.12,-2.37e-05
105704099.0,1.2,1.87,0.6700000000000002,5884.92,4.236000000000001,-0.747,7.71,49.14,84.55,-8.66,-2.8899999999999998e-05
484310179.0,3.2,2.53,-0.6700000000000004,5066.58,4.515,-0.106,0.79,10.12,17.57,-3.98,-1.3300000000000001e-05
381602134.0,2.7,2.03,-0.6700000000000004,5060.92,3.005,-0.502,15.64,71.67,127.83,-4.87,-1.62e-05
397410138.0,1.9,2.56,0.6600000000000001,5259.0,3.512,0.076,3.3,28.54,57.88,-13.5,-4.5e-05
162001176.0,1.9,2.56,0.6600000000000001,5273.25,3.641,-0.242,1.43,18.22,54.06,4.84,1.6100000000000002e-05
280614195.0,2.7,2.05,-0.6500000000000004,5159.72,3.4330000000000003,-0.145,0.23,6.81,23.79,-4.8,-1.6e-05
202501116.0,2.7,2.05,-0.6500000000000004,5373.77,4.543,-0.474,2.65,14.79,23.98,-14.11,-4.71e-05
360403109.0,1.2,1.84,0.6400000000000001,5848.73,4.223,-0.6970000000000001,7.86,36.85,43.23,1.87,6.24e-06
